Brand,Model,Range(km),Long_distance_range(km),Battery(kWh),Weight(kg),Seating_capacity,Car_segment,Acceleration_time(0-100 Kmph[in seconds]),Efficiency(Wh/km),Fastcharge_power(kW),Towing_capacity(kg),Cargo_volume(L),Price_per_range(€),Germany_Price(€),Range_per_kWh,Charging_km_per_min,Price_per_kWh,Price_Category
MG,MG4 Electric 64 kWh,360.0,405.0,61.7,1.726,5.0,C,7.9,171.0,115.0,500.0,363.0,102.0,39990.0,5.83,40.35,648.14,Mid-range (€30k–€60k)
BMW,iX3 50 xDrive (MY26),610.0,742.0,108.7,2.36,5.0,D,4.9,178.0,225.0,750.0,578.0,113.0,68900.0,5.61,75.84,633.85,Premium (€60k–€90k)
Tesla,Model Y Long Range AWD (Juniper),455.0,535.0,75.0,2.072,5.0,D,4.8,165.0,124.0,750.0,971.0,122.0,52990.0,6.07,45.09,706.53,Mid-range (€30k–€60k)
Mercedes-Benz,CLA 250+,585.0,763.0,85.0,2.055,5.0,D,6.7,145.0,235.0,750.0,506.0,95.0,55859.0,6.88,97.24,657.16,Mid-range (€30k–€60k)
BMW,iX xDrive40,360.0,388.0,71.0,2.44,5.0,E,6.1,197.0,102.0,750.0,500.0,225.0,77300.0,5.07,31.07,1088.73,Premium (€60k–€90k)
Tesla,Model Y RWD (Juniper),375.0,438.0,60.0,2.003,5.0,D,5.9,160.0,110.0,750.0,971.0,128.0,45970.0,6.25,41.25,766.17,Mid-range (€30k–€60k)
Fiat,500e Hatchback 42 kWh,235.0,261.0,37.3,1.365,4.0,B,9.0,159.0,67.0,750.0,185.0,143.0,34990.0,6.3,25.28,938.07,Mid-range (€30k–€60k)
CUPRA,Born 150 kW - 58 kWh,350.0,375.0,58.0,1.811,5.0,C,7.3,166.0,82.0,750.0,385.0,110.0,39370.0,6.03,29.64,678.79,Mid-range (€30k–€60k)
Kia,EV3 Long Range,455.0,472.0,78.0,1.885,5.0,B,7.7,171.0,105.0,750.0,485.0,91.0,41390.0,5.83,36.84,530.64,Mid-range (€30k–€60k)
CUPRA,Born 170 kW - 77 kWh,450.0,488.0,77.0,1.946,4.0,C,7.0,171.0,115.0,750.0,385.0,103.0,46450.0,5.84,40.35,603.25,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range RWD (Highland),580.0,688.0,79.0,1.822,5.0,D,5.2,136.0,120.0,750.0,682.0,83.0,45970.0,7.34,52.94,581.9,Mid-range (€30k–€60k)
Tesla,Model 3 RWD (Highland CATL LFP64),440.0,520.0,60.0,1.836,5.0,D,6.1,136.0,110.0,750.0,682.0,96.0,40970.0,7.33,48.53,682.83,Mid-range (€30k–€60k)
Renault,Twingo E-Tech 27.5 kWh,190.0,193.0,27.5,1.2,5.0,A,12.1,145.0,40.0,750.0,360.0,105.0,19000.0,6.91,16.55,690.91,Budget (<€30k)
Tesla,Model 3 Standard Range Plus,320.0,389.0,49.0,1.684,5.0,D,5.6,153.0,105.0,750.0,542.0,149.0,46380.0,6.53,41.18,946.53,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range RWD (Highland),550.0,655.0,75.0,1.822,5.0,D,5.2,136.0,124.0,750.0,682.0,86.0,44990.0,7.33,54.71,599.87,Mid-range (€30k–€60k)
BYD,ATTO 3 (MY23-24),330.0,325.0,60.5,1.825,5.0,C,7.3,183.0,71.0,750.0,440.0,122.0,37990.0,5.45,23.28,627.93,Mid-range (€30k–€60k)
Renault,5 E-Tech 52kWh 150hp,335.0,348.0,52.0,1.504,5.0,B,8.0,155.0,70.0,500.0,326.0,93.0,32900.0,6.44,27.1,632.69,Mid-range (€30k–€60k)
BYD,SEALION 7 91.3 kWh AWD Excellence,440.0,502.0,91.3,2.51,5.0,D,4.5,208.0,165.0,750.0,578.0,140.0,58990.0,4.82,47.6,646.11,Mid-range (€30k–€60k)
Tesla,Model Y Long Range AWD,445.0,524.0,75.0,2.054,7.0,D,5.0,169.0,124.0,750.0,971.0,126.0,55970.0,5.93,44.02,746.27,Mid-range (€30k–€60k)
BYD,SEALION 7 82.5 kWh RWD Comfort,420.0,440.0,82.5,2.3,5.0,D,6.7,196.0,115.0,750.0,578.0,121.0,47990.0,5.09,35.2,581.7,Mid-range (€30k–€60k)
Mercedes-Benz,GLC 400 4MATIC,500.0,606.0,94.0,2.535,5.0,D,4.3,188.0,190.0,750.0,698.0,146.0,71281.0,5.32,60.64,758.31,Premium (€60k–€90k)
Tesla,Model Y Long Range RWD (Juniper),470.0,552.0,75.0,1.976,5.0,D,5.6,160.0,124.0,750.0,971.0,112.0,50970.0,6.27,46.5,679.6,Mid-range (€30k–€60k)
BYD,ATTO 2,245.0,235.0,45.1,1.645,5.0,B,7.9,184.0,51.0,750.0,400.0,135.0,31990.0,5.43,16.63,709.31,Mid-range (€30k–€60k)
Volvo,EX30 Single Motor ER (MY24-26),365.0,411.0,65.0,1.85,5.0,B,5.3,178.0,114.0,750.0,325.0,117.0,44990.0,5.62,38.43,692.15,Mid-range (€30k–€60k)
Leapmotor,B10 67.1 kWh,360.0,403.0,65.0,1.92,5.0,C,8.0,181.0,110.0,750.0,430.0,93.0,32400.0,5.54,36.46,498.46,Mid-range (€30k–€60k)
Tesla,Model Y Standard RWD (Juniper),380.0,440.0,60.0,1.981,5.0,D,7.2,158.0,110.0,750.0,952.0,107.0,40970.0,6.33,41.77,682.83,Mid-range (€30k–€60k)
Tesla,Model Y Performance,430.0,506.0,75.0,2.072,5.0,D,4.0,174.0,124.0,750.0,971.0,146.0,60970.0,5.73,42.76,812.93,Premium (€60k–€90k)
Tesla,Model Y Premium AWD (Juniper),475.0,556.0,79.0,2.072,5.0,D,4.8,166.0,120.0,750.0,971.0,118.0,53970.0,6.01,43.37,683.16,Mid-range (€30k–€60k)
Škoda,Elroq 85 (MY25),450.0,493.0,77.0,2.115,5.0,C,6.6,171.0,120.0,750.0,470.0,94.0,44180.0,5.84,42.11,573.77,Mid-range (€30k–€60k)
Kia,EV4 Hatchback 81.4 kWh,475.0,498.0,78.0,1.89,5.0,C,7.7,164.0,105.0,750.0,435.0,90.0,43240.0,6.09,38.41,554.36,Mid-range (€30k–€60k)
